User,Target,RA0,Decl0,Cycles,ExposureTime,Exposures,Magnitude,Separation,Filter,WDS,Discoverer,PMag,SMag,B,Dmag,Period,DThe,G,First,Last,#,Plot,P Spectral,hhmmss.ss+ddmmss.s,Dcml RA,Dcml Dec,The22,The23,Rho22,Rho23,Drho,Ref,DDThe
Dixon,22552-0459,343.79567,-4.98789,2,0.01,500,6.03,0.52,R,22552-0459,BU 178,6.03,7.75,v,1.72,106.0,0.1,3,1873,2020,76,X,G4:III,225510.96-045916.4,343.79567,-4.98789,324.1,324.2,0.533,0.52,-0.013,Tok2017c,3.296
Dixon,13006-0322,195.14983,-3.36861,2,0.01,500,6.18,0.611,R,13006-0322,AGC 5AB,6.18,8.78,v,2.6,901.2,0.7,5,1877,2016,32,X,K1IV,130035.96-032207.0,195.14983,-3.36861,190.1,190.8,0.617,0.611,-0.006,Izm2019,0.301
Dixon,17082-0105,257.05688,-1.07947,2,0.01,500,6.32,0.676,R,17082-0105,A 1145,6.32,7.75,v,1.43,203.6,0.8,3,1905,2018,69,X,A1V+F3V,170813.65-010446.1,257.05688,-1.07947,337.5,336.7,0.675,0.676,0.001,WSI2006b,0.968
Dixon,22241-0450,336.02863,-4.83700,2,0.01,500,6.45,0.522,R,22241-0450,BU 172AB,6.45,6.63,v,0.18,145.1,1.0,2,1873,2019,244,X,A0V,222406.87-045013.2,336.02863,-4.83700,23.7,22.7,0.515,0.522,0.007,Tok2015c,1.482
Dixon,01198-0031,19.95125,-0.50903,2,0.01,500,6.45,1.644,R,01198-0031,"STF 113A,BC",6.45,6.99,v,0.54,650.0,0.2,4,1829,2020,333,X,A2V+G4III,011948.30-003032.5,19.95125,-0.50903,21.9,22.1,1.643,1.644,0.001,Zir2015a,0.354
Dixon,22408-0333,340.19988,-3.55428,2,0.01,500,6.52,0.363,R,22408-0333,KUI 114,6.52,8.63,v,2.11,54.6,0.2,2,1934,2020,90,X,F6V,224047.97-033315.4,340.19988,-3.55428,128.9,129.1,0.365,0.363,-0.002,Doc2016d,6.397
Dixon,14375+0217,219.36871,2.27742,2,0.01,500,6.60,0.218,R,14375+0217,"CHR 42Aa,Ab",6.60,8.50,v,1.9,21.5,2.4,3,1984,2020,36,X,F8V,143728.49+021638.7,219.36871,2.27742,149.4,151.8,0.209,0.218,0.009,Tok2015c,14.313
Dixon,06214+0216,95.35742,2.26858,2,0.01,500,6.63,0.296,R,06214+0216,A 2667,6.63,8.02,v,1.39,100.2,3.0,2,1913,2018,96,X,A4.5V,062125.78+021606.9,95.35742,2.26858,293.7,296.7,0.306,0.296,-0.01,Msn2009,0.592
Dixon,05417-0254,85.41808,-2.89647,2,0.01,500,6.68,0.654,R,05417-0254,BU 1052,6.68,8.22,v,1.54,105.7,0.3,3,1889,2020,51,X,A9IV-V,054140.34-025347.3,85.41808,-2.89647,182.6,182.3,0.653,0.654,0.001,Tok2018e,3.106
Dixon,18250-0135,276.23838,-1.57933,2,0.01,500,6.71,0.903,R,18250-0135,AC 11,6.71,7.21,v,0.5,340.0,0.1,3,1854,2020,249,X,F0,182457.21-013445.6,276.23838,-1.57933,354.6,354.5,0.904,0.903,-0.001,Tok2017c,0.959
Dixon,21031+0132,315.76288,1.53219,2,0.01,500,6.76,1.19,R,21031+0132,STF2744AB,6.76,7.33,v,0.57,642.8,0.6,4,1825,2020,382,X,F7IV,210303.09+013155.9,315.76288,1.53219,106.2,105.6,1.197,1.19,-0.007,Izm2019,0.040
Dixon,13207+0257,200.17321,2.94219,2,0.01,500,6.77,1.064,R,13207+0257,STF1734,6.77,7.29,v,0.52,973.8,0.2,4,1830,2017,197,X,A3V,132041.57+025631.9,200.17321,2.94219,173.0,172.8,1.067,1.064,-0.003,Izm2019,0.170
Dixon,01559+0151,28.97417,1.84989,2,0.01,500,6.79,0.573,R,01559+0151,STF 186,6.79,6.84,v,0.05,166.4,1.3,2,1825,2020,449,X,F9V,015553.80+015059.6,28.97417,1.84989,77.0,78.3,0.595,0.573,-0.022,Jte2018,0.863
Dixon,05135+0158,78.38146,1.96769,2,0.01,500,6.79,0.725,R,05135+0158,STT 517AB,6.79,6.99,v,0.2,987.0,0.1,4,1854,2019,137,X,A5V,051331.55+015803.7,78.38146,1.96769,241.6,241.7,0.72,0.725,0.005,Tok2014a,0.265
Dixon,08213-0136,125.33450,-1.60203,2,0.01,500,6.85,0.518,R,08213-0136,STF1216,6.85,7.88,v,1.03,402.0,0.9,3,1825,2020,188,X,A2Vpn:,082120.28-013607.3,125.33450,-1.60203,314.2,315.1,0.518,0.518,0,Tok2014a,0.004
Dixon,17571+0004,269.26800,0.06667,2,0.01,500,6.89,0.68,R,17571+0004,STF2244,6.89,6.56,v,0.33,474.9,0.1,3,1830,2019,199,X,A3V,175704.32+000400.0,269.26800,0.06667,100.6,100.7,0.678,0.68,0.002,Msn2017e,0.658
Dixon,10426+0335,160.65638,3.58303,2,0.01,500,6.92,0.612,R,10426+0335,A 2768,6.92,8.45,v,1.53,81.7,1.2,3,1914,2019,128,X,F7V,104237.53+033458.9,160.65638,3.58303,236.1,234.9,0.615,0.612,-0.003,Tok2015c,3.209
Dixon,05255-0033,81.37950,-0.54394,2,0.01,500,6.93,0.352,R,05255-0033,A 848,6.93,7.88,v,0.95,534.4,0.4,4,1904,2016,52,X,B9pHgSi,052531.08-003238.2,81.37950,-0.54394,181.0,181.4,0.349,0.352,0.003,Nov2007d,0.274
Dixon,05289-0318,82.23713,-3.30742,2,0.01,500,6.99,0.2,R,05289-0318,DA 6,6.99,7.34,v,0.35,1491.2,2.3,4,1854,2014,76,X,A0Vn,052856.91-031826.7,82.23713,-3.30742,321.7,324,0.197,0.2,0.003,Tok2015c,2.059
Dixon,08285-0231,127.12150,-2.51711,2,0.02,500,7.00,0.385,R,08285-0231,A 551AB,7.00,7.10,v,0.1,54.4,0.4,2,1903,2018,74,X,A5m,082829.16-023101.6,127.12150,-2.51711,64.0,64.4,0.385,0.385,0,Doc2017a,6.218
Dixon,02280+0158,36.99971,1.96086,2,0.02,500,7.09,0.474,R,02280+0158,KUI 8,7.09,7.63,v,0.54,653.0,0.3,4,1937,2018,132,X,K0III,022759.93+015739.1,36.99971,1.96086,40.9,41.2,0.476,0.474,-0.002,Zir2013a,0.251
Dixon,07573+0108,119.31829,1.12703,2,0.02,500,7.10,0.389,R,07573+0108,STT 185,7.10,7.30,v,0.2,58.0,1.1,2,1843,2020,167,X,F7V,075716.39+010737.3,119.31829,1.12703,26.2,27.3,0.394,0.389,-0.005,Msn2009,5.106
Dixon,18261+0047,276.51408,0.78047,2,0.02,500,7.11,0.514,R,18261+0047,BU 1203,7.11,8.73,v,1.62,495.7,0.3,4,1890,2018,99,X,A7III,182603.38+004649.7,276.51408,0.78047,159.7,160,0.512,0.514,0.002,Pop1996b,0.426
Dixon,13039-0340,195.97675,-3.66314,2,0.02,500,7.12,0.45,R,13039-0340,BU 929,7.12,7.65,v,0.53,438.0,0.5,4,1879,2018,169,X,F0V,130354.42-033947.3,195.97675,-3.66314,190.2,189.7,0.459,0.45,-0.009,Zir2013a,0.322
Dixon,04584-0344,74.60896,-3.73300,2,0.02,500,7.12,0.706,R,04584-0344,HDS 644,7.12,10.10,v,2.98,127.0,1.7,4,1991,2020,25,X,F5,045826.15-034358.8,74.60896,-3.73300,178.4,180.1,0.698,0.706,0.008,Tok2019d,1.135
Dixon,06478+0020,101.94817,0.34014,2,0.02,500,7.18,0.611,R,06478+0020,STT 157,7.18,9.16,v,1.98,500.0,0.7,4,1847,2018,99,X,A2,064747.56+002024.5,101.94817,0.34014,158.8,158.1,0.604,0.611,0.007,Doc2018l,0.020
Dixon,17400-0038,264.99042,-0.63922,2,0.02,500,7.23,0.335,R,17400-0038,BU 631,7.23,7.40,v,0.17,147.5,0.7,2,1878,2018,126,X,B9IV,173957.70-003821.2,264.99042,-0.63922,75.1,74.4,0.332,0.335,0.003,Hei1996a,1.741
Dixon,22478-0414,341.95854,-4.22878,2,0.02,500,7.30,1.803,R,22478-0414,STF2944AB,7.30,7.68,v,0.38,602.9,0.8,4,1782,2020,428,X,G2V+G4,224750.05-041343.6,341.95854,-4.22878,308.8,309.6,1.813,1.803,-0.01,Izm2019,0.203
Dixon,12564-0057,194.11079,-0.95461,2,0.02,500,7.33,1.086,R,12564-0057,STT 256,7.33,7.61,v,0.28,605.0,0.1,4,1843,2017,206,X,F7V,125626.59-005716.6,194.11079,-0.95461,101.4,101.5,1.083,1.086,0.003,Zir2015a,0.495
Dixon,02409+0452,40.23588,4.87072,2,0.02,500,7.39,0.738,R,02409+0452,STT 45,7.39,8.95,v,1.56,1207.4,0.5,5,1844,2018,46,X,F0,024056.61+045214.6,40.23588,4.87072,255.3,254.8,0.743,0.738,-0.005,Izm2019,0.202
Dixon,23568+0444,359.19704,4.72511,2,0.02,500,7.40,0.437,R,23568+0444,A 2100,7.40,7.90,v,0.5,89.2,0.9,2,1909,2019,102,X,F0,235647.29+044330.4,359.19704,4.72511,250.3,249.4,0.433,0.437,0.004,Jte2018,3.135
Dixon,00028+0208,0.69642,2.13039,2,0.02,500,7.40,1.534,R,00028+0208,BU 281AB,7.40,9.36,v,1.96,1117.0,0.3,5,1877,2017,71,X,F2V,000247.14+020749.4,0.69642,2.13039,157.9,157.6,1.538,1.534,-0.004,Lin2015a,0.022
Dixon,10275+0334,156.87588,3.56353,2,0.02,500,7.44,0.418,R,10275+0334,STT 218,7.44,9.60,v,2.16,2450.0,1.9,5,1843,2011,84,X,K0,102730.21+033348.7,156.87588,3.56353,192.5,194.4,0.413,0.418,0.005,USN2002,1.753
Dixon,04257-0214,66.42438,-2.23244,2,0.02,500,7.47,0.851,R,04257-0214,BU 403,7.47,9.42,v,1.95,591.9,0.4,4,1877,2020,51,X,F8,042541.85-021356.8,66.42438,-2.23244,81.3,80.9,0.862,0.851,-0.011,Izm2019,0.208
Dixon,04205-0119,65.12046,-1.31633,2,0.02,500,7.59,0.353,R,04205-0119,RST4769,7.59,7.63,v,0.04,77.6,0.4,3,1943,2019,26,X,A3,042028.91-011858.8,65.12046,-1.31633,20.1,19.7,0.344,0.353,0.009,Hrt2012a,4.241
Dixon,00345-0433,8.62413,-4.54653,2,0.02,500,7.63,0.32,R,00345-0433,D  2AB,7.63,8.04,v,0.41,777.0,0.8,4,1858,2019,71,X,G0IV,003429.79-043247.5,8.62413,-4.54653,78.3,79.1,0.304,0.32,0.016,Tok2019h,0.337
Dixon,14153+0308,213.83075,3.13128,2,0.02,500,7.73,0.873,R,14153+0308,STF1819AB,7.73,7.92,v,0.19,223.5,2.2,2,1828,2019,486,X,G0V,141519.38+030752.6,213.83075,3.13128,152.8,150.6,0.875,0.873,-0.002,Sca2012b,0.589
Dixon,03496-0220,57.41117,-2.32847,2,0.02,500,7.73,0.41,R,03496-0220,YR 23,7.73,8.29,v,0.56,51.1,2.5,4,2000,2020,37,X,G0,034938.68-021942.5,57.41117,-2.32847,284.7,282.2,0.406,0.41,0.004,Tok2018a,4.545
Dixon,02460-0457,41.49846,-4.95644,2,0.02,500,7.73,1.063,R,02460-0457,BU 83,7.73,9.64,v,1.91,716.3,0.4,5,1872,2020,74,X,F2,024559.63-045723.2,41.49846,-4.95644,8.4,8,1.054,1.063,0.009,Hrt2011d,0.103
Dixon,15160-0454,229.00650,-4.89786,2,0.02,500,7.74,0.299,R,15160-0454,STF3091AB,7.74,8.48,v,0.74,143.2,0.3,2,1832,2018,109,X,F7V,151601.56-045352.3,229.00650,-4.89786,225.3,225,0.337,0.299,-0.038,Msn2019,2.214
Dixon,07527+0323,118.17550,3.38394,2,0.02,500,7.82,0.919,R,07527+0323,STT 182,7.82,7.93,v,0.11,1661.0,0.2,4,1843,2017,106,X,A2,075242.12+032302.2,118.17550,3.38394,7.7,7.5,0.92,0.919,-0.001,PkO2018b,0.017
Dixon,13343-0019,203.56825,-0.31383,2,0.02,500,7.82,1.568,R,13343-0019,STF1757AB,7.82,8.75,v,0.93,344.1,1.3,3,1825,2019,385,X,K4III,133416.38-001849.8,203.56825,-0.31383,146.8,148.1,1.589,1.568,-0.021,Izm2019,0.254
Dixon,08024+0409,120.60858,4.15208,2,0.02,500,7.89,1.456,R,08024+0409,STF1175,7.89,9.13,v,1.24,2929.3,0.5,4,1827,2017,134,X,G5,080226.06+040907.5,120.60858,4.15208,289.3,289.8,1.452,1.456,0.004,Izm2019,0.377
Dixon,11000-0328,165.00842,-3.47125,2,0.02,500,7.91,1.292,R,11000-0328,STF1500,7.91,8.27,v,0.36,680.1,0.2,4,1825,2019,148,X,F8V,110002.02-032816.5,165.00842,-3.47125,298.6,298.4,1.299,1.292,-0.007,Izm2019,0.329
Dixon,21209+0307,320.23242,3.11822,2,0.02,500,7.92,1.543,R,21209+0307,BU 838,7.92,10.02,v,2.1,1023.4,0.5,5,1881,2016,63,X,F8,212055.78+030705.6,320.23242,3.11822,157.2,157.7,1.553,1.543,-0.01,Izm2019,0.148
Dixon,07546-0248,118.63763,-2.79581,2,0.02,500,7.93,0.675,R,07546-0248,STF1157,7.93,7.89,v,0.04,1448.0,1.0,4,1831,2019,105,X,F0,075433.03-024744.9,118.63763,-2.79581,169.8,168.8,0.676,0.675,-0.001,Lin2010c,0.751
Dixon,05226+0236,80.65625,2.60317,2,0.02,500,7.93,0.561,R,05226+0236,A 2641,7.93,10.77,v,2.84,91.9,6.1,3,1913,2020,27,X,G5,052237.50+023611.4,80.65625,2.60317,123.9,117.8,0.609,0.561,-0.048,Tok2018e,2.183
Dixon,12268-0011,186.69117,-0.18331,2,0.02,500,7.95,0.638,R,12268-0011,AGC 4,7.95,10.04,v,2.09,1137.5,0.6,5,1876,2016,21,X,F1V,122645.88-001059.9,186.69117,-0.18331,148.5,147.9,0.635,0.638,0.003,Izm2019,0.284
Dixon,15420+0027,235.50579,0.45708,2,0.03,500,8.00,0.203,R,15420+0027,A 2176,8.00,8.00,v,0,52.7,2.4,2,1910,2018,63,X,A1IV,154201.39+002725.5,235.50579,0.45708,216.6,219,0.206,0.203,-0.003,Tok2015c,4.434
Dixon,09149+0427,138.72383,4.44289,2,0.03,500,8.00,0.719,R,09149+0427,HEI 350,8.00,11.00,v,3,55.4,5.2,4,1987,2019,26,X,K0,091453.72+042634.4,138.72383,4.44289,349.8,344.6,0.711,0.719,0.008,Tok2020g,1.302
Dixon,00593-0040,14.83529,-0.67453,2,0.03,500,8.11,0.352,R,00593-0040,A 1902,8.11,9.17,v,1.06,94.6,1.1,3,1908,2019,75,X,F5,005920.47-004028.3,14.83529,-0.67453,222.2,223.3,0.354,0.352,-0.002,Doc2014a,2.707
Dixon,03140+0044,48.51213,0.73925,2,0.03,500,8.14,1.274,R,03140+0044,STF 367,8.14,8.17,v,0.03,370.1,0.3,3,1831,2018,171,X,F8,031402.91+004421.3,48.51213,0.73925,128.8,128.5,1.27,1.274,0.004,Izm2019,0.673
Dixon,21469+0051,326.72283,0.85081,2,0.03,500,8.14,0.397,R,21469+0051,STF2825,8.14,9.06,v,0.92,668.0,1.1,4,1827,2011,116,X,F3V,214653.48+005102.9,326.72283,0.85081,163.9,165,0.402,0.397,-0.005,Zir2014a,0.561
Dixon,15071-0217,226.78588,-2.28069,2,0.03,500,8.20,0.317,R,15071-0217,A 689,8.20,8.70,v,0.5,66.0,0.6,4,1904,2016,43,X,F8,150708.61-021650.5,226.78588,-2.28069,324.9,324.3,0.318,0.317,-0.001,Baz1987d,4.855
Dixon,05089+0313,77.23400,3.21878,2,0.03,500,8.21,0.381,R,05089+0313,A 2636,8.21,6.83,v,1.38,390.0,0.3,4,1913,2019,42,X,B8V,050856.16+031307.6,77.23400,3.21878,172.3,172.6,0.379,0.381,0.002,Hrt2010a,0.623
Dixon,18146+0011,273.64033,0.17581,2,0.03,500,8.22,1.348,R,18146+0011,STF2294,8.22,8.55,v,0.33,344.8,0.1,4,1831,2018,227,X,F2,181433.68+001032.9,273.64033,0.17581,93.1,93,1.345,1.348,0.003,Sca2015b,0.944
Dixon,23176-0131,349.40671,-1.52172,2,0.03,500,8.23,1.587,R,23176-0131,BU 79AB,8.23,9.59,v,1.36,302.0,0.4,4,1872,2016,141,X,G5,231737.61-013118.2,349.40671,-1.52172,6.2,5.8,1.589,1.587,-0.002,WSI2004b,0.792
Dixon,02572+0153,44.31208,1.88758,2,0.03,500,8.28,0.657,R,02572+0153,A 2413,8.28,8.62,v,0.34,129.3,0.8,3,1912,2019,99,X,G0V,025714.90+015315.3,44.31208,1.88758,169.5,170.3,0.652,0.657,0.005,Jte2018,1.984
